Microservice, Responsibilities, Communicates With
HTML5 Client, Connects to BigBlueButton server over SSL; Manages real time communication and state synchronization; Subscribes to server published collections to maintain meeting state; Establishes WebRTC media sessions for audio and video, HTML5 Server; Kurento and WebRTC-SFU; FreeSWITCH; BigBlueButton Web (bbb-web)
HTML5 Server, Handle client communications and session management; Publish and manage Meteor collections for clients; Process frontend and backend events with separate processes; Relay messages to internal services via Redis PubSub; Coordinate meeting state updates, HTML5 Client; Redis PubSub; Apps Akka; Redis Database; Kurento and WebRTC-SFU; BigBlueButton Web (bbb-web)
BigBlueButton Web (bbb-web), Implement BigBlueButton API; Manage meeting lifecycle and state; Provide portal and integration endpoints for third party apps; Authenticate and authorize API requests, HTML5 Client; HTML5 Server; Apps Akka; Redis PubSub; Redis Database
Redis PubSub, Provide real time messaging channels; Broadcast event notifications and updates; Decouple services through publish subscribe patterns, HTML5 Server; Apps Akka; FSESL Akka; BigBlueButton Web (bbb-web)
Redis Database, Store meeting events; Persist raw files for post processing; Support retrieval for recording and playback processing, HTML5 Server; Apps Akka; BigBlueButton Web (bbb-web); Presentation Conversion System
Apps Akka, Orchestrate real time collaboration logic; Manage meetings users chat and presentations; Interact with media and voice services through messaging; Persist meeting events, HTML5 Server; Redis PubSub; Redis Database; FSESL Akka; Kurento and WebRTC-SFU; BigBlueButton Web (bbb-web)
FSESL Akka, Integrate with FreeSWITCH event socket; Translate voice conferencing events to internal messages; Support multiple voice conference systems, FreeSWITCH; Redis PubSub; Apps Akka; HTML5 Server
FreeSWITCH, Provide voice conferencing and media mixing; Support audio over WebRTC and PSTN; Bridge calls for conference rooms, FSESL Akka; HTML5 Client
Kurento and WebRTC-SFU, Handle video and audio stream negotiation; Manage media routing and stream management; Provide WebRTC endpoints for clients, HTML5 Client; HTML5 Server; Apps Akka
Presentation Conversion System, Convert Office documents to PDF; Convert PDF to SVG for slide rendering; Apply fallback strategies for heavy SVG files; Store and serve converted assets, BigBlueButton Web (bbb-web); HTML5 Server; Redis Database
Internal Network Connections, Provide socket based inter component transport; Manage internal channels for events and data; Ensure efficient message routing, HTML5 Server; Apps Akka; FSESL Akka; FreeSWITCH; Kurento and WebRTC-SFU; BigBlueButton Web (bbb-web); Redis PubSub; Redis Database
