Microservice,Responsibilities,Communicates With
Web UI Service,serve Angular SPA assets; perform client-side interactions; call backend APIs via AJAX,API Gateway
API Gateway,route and aggregate API requests; handle CORS and rate limiting; validate JWTs and forward identity; translate between frontend and backend APIs,Identity & Access Service; Core Logic Service; Search Service; Reporting & Statistics Service
Identity & Access Service,authenticate users; issue and verify tokens; evaluate access control policies,API Gateway; Core Logic Service
Core Logic Service,enforce business rules and transactions; manage relationships between entities; expose domain APIs; sanitize and validate inputs,Identity & Access Service; Persistence Service (GAE Datastore Adapter); Task Queue Service; Email/Notification Service; Search Service
Persistence Service (GAE Datastore Adapter),perform CRUD on GAE Datastore; validate data on create and update; manage transactions; hide datastore specifics from domain services; publish change events,Core Logic Service; Search Service; Reporting & Statistics Service
Search Service,index entities for search; execute search queries; maintain search index consistency,Persistence Service (GAE Datastore Adapter); Core Logic Service; API Gateway
Email/Notification Service,generate email content from templates; send emails; manage delivery status and retries,Core Logic Service; Task Queue Service
Task Queue Service,enqueue background tasks; schedule and execute workers; retry failed jobs,Core Logic Service; Email/Notification Service; Search Service; Reporting & Statistics Service
Reporting & Statistics Service,compute statistics and reports; export datasets; support long-running analytics jobs,Persistence Service (GAE Datastore Adapter); Task Queue Service; API Gateway
Admin/Client Operations Service,run data migrations; execute administrative scripts; provide remote API for backend maintenance,Core Logic Service; Persistence Service (GAE Datastore Adapter); Reporting & Statistics Service; Identity & Access Service
Test Automation Service,run unit and integration tests; provide test fixtures and helpers; generate test reports,API Gateway; Core Logic Service; Persistence Service (GAE Datastore Adapter)
E2E Testing Orchestrator,run browser-based end-to-end tests; perform load and performance tests; validate full application flows,Web UI Service; API Gateway
